show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
1,TV Show,Sunset Boulevard Stories,David Okafor,"Dev Patel, Freida Pinto, Irrfan Khan",United States,2022-10-16,1963,PG-13,2 Seasons,"Horror Movies, Thrillers",Two strangers cross paths and discover a secret that changes everything.
2,TV Show,Whispering Pines,Marcus Bennett,"Idris Elba, Lupita Nyong'o, John Boyega",Canada,2018-12-29,2024,TV-G,75 min,"Comedies, Romantic Movies","A heartfelt story about family, sacrifice, and the meaning of home."
3,Movie,Northern Lights,Sofia Rossi,"Emma Stone, Ryan Reynolds, Zoe Saldana",United Kingdom,2024-07-17,1999,TV-MA,4 Seasons,"Horror Movies, Thrillers",A documentary exploring the hidden lives behind a famous landmark.
4,Movie,Sunset Boulevard Stories,Mateo Alvarez,"Scarlett Chen, Hiroshi Abe, Mei Lin",Nigeria,2023-11-21,2016,PG,5 Seasons,Documentaries,A documentary exploring the hidden lives behind a famous landmark.
5,Movie,Iron & Ash,,"Aisha Khan, Ravi Kapoor, Nandita Das",Australia,2022-07-04,1991,TV-14,4 Seasons,"TV Dramas, Crime TV Shows","In a city that never sleeps, one choice sets off a chain of events."
6,TV Show,Sunset Boulevard Stories,Elena Volkov,,United Kingdom,2024-03-03,1978,TV-MA,118 min,"Horror Movies, Thrillers","A heartfelt story about family, sacrifice, and the meaning of home."
7,TV Show,The Quiet Town,Rahul Mehta,,India,2018-08-08,2015,R,88 min,"Dramas, International Movies",A documentary exploring the hidden lives behind a famous landmark.
8,Movie,The Last Archive,Liam O'Connor,"Tom Hardy, Florence Pugh, Cillian Murphy",Japan,2020-04-15,2022,PG,102 min,"Horror Movies, Thrillers",A gripping tale of survival against impossible odds in a remote wilderness.
9,TV Show,The Quiet Town,Kenji Tanaka,"Dev Patel, Freida Pinto, Irrfan Khan",Canada,2019-03-22,1971,G,75 min,"TV Dramas, Crime TV Shows",A documentary exploring the hidden lives behind a famous landmark.
10,TV Show,The Final Reckoning,Liam O'Connor,"Emma Stone, Ryan Reynolds, Zoe Saldana",Germany,2022-12-13,1964,TV-MA,88 min,"Dramas, International Movies","A heartfelt story about family, sacrifice, and the meaning of home."
11,Movie,Echoes of Tomorrow,Ava Hernandez,"Carlos Mendez, Ana Garcia, Diego Luna",Canada,2021-10-24,1999,TV-PG,75 min,"Action & Adventure, Sci-Fi & Fantasy",A documentary exploring the hidden lives behind a famous landmark.
12,TV Show,The Last Archive,Elena Volkov,"Idris Elba, Lupita Nyong'o, John Boyega",United States,2019-01-14,1971,R,102 min,"TV Dramas, Crime TV Shows",Two strangers cross paths and discover a secret that changes everything.
13,Movie,Lost in Lagos,Liam O'Connor,"Idris Elba, Lupita Nyong'o, John Boyega",Germany,2020-12-02,2007,TV-G,5 Seasons,Documentaries,"A heartfelt story about family, sacrifice, and the meaning of home."
14,Movie,Glass Kingdom,David Okafor,"Aisha Khan, Ravi Kapoor, Nandita Das",United States,2021-04-29,1998,PG,3 Seasons,"Horror Movies, Thrillers",A young dreamer fights to change a world that refuses to listen.
